step,timestamp,mid_price,best_bid,best_ask,spread_bps,imbalance,sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,fills_this_step,total_volume,trade_count,mm_0_position,mm_0_cash,mm_1_position,mm_1_cash,informed_0_position,informed_0_cash,informed_1_position,informed_1_cash,informed_2_position,informed_2_cash,informed_3_position,informed_3_cash,informed_4_position,informed_4_cash,noise_0_position,noise_0_cash,noise_1_position,noise_1_cash,noise_2_position,noise_2_cash,noise_3_position,noise_3_cash,noise_4_position,noise_4_cash,noise_5_position,noise_5_cash,noise_6_position,noise_6_cash,noise_7_position,noise_7_cash,noise_8_position,noise_8_cash,noise_9_position,noise_9_cash
21,2025-12-17T18:39:38.513724,44641.539895529335,44497.679460003455,44785.400331055214,64.4513768398417,0.8887661428025022,0.22461127389737717,0.06285673967347175,0.23992559679661565,bullish,3,26.09361713156031,136,-5.18413562441617,321141.8006960415,-5.796001452453888,347037.0340042559,5.0447677947344,-115476.16934370373,4.553726904081434,-93530.48863492325,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.415409142982216,81844.40468179285,-0.19342051791525408,108578.03087872668,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,0.046773554678464356,97838.88302754416,0.10950552316502876,95325.79844653707,-0.031069255954247955,101308.34223787856,0.17787892068660233,92122.28180115181,0.08378023324815106,96510.26158490725
22,2025-12-17T18:39:38.513868,44875.03307932343,44849.13279888241,44900.93335976445,11.543291966041162,0.9099594910078702,0.23133011290883904,0.057611187815717925,0.24269448046370093,bullish,5,27.287457436349158,141,-5.49827929155036,335221.50360189704,-5.796001452453888,347048.77594996896,5.0447677947344,-115476.16934370373,4.553726904081434,-93530.48863492325,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.27344905501464845,87948.90938522125,0.415409142982216,81844.40468179285,-0.19342051791525408,108578.03087872668,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,0.046773554678464356,97838.88302754416,0.22980888551037162,89937.9642027289,-0.031069255954247955,101308.34223787856,0.17787892068660233,92122.28180115181,0.08378023324815106,96510.26158490725
23,2025-12-17T18:39:38.514001,45127.30045242157,45105.12898537694,45149.4719194662,9.826188060155104,0.8905125648961856,0.2063226541815792,0.0593436704030681,0.23412369496239419,bullish,4,28.120961600149677,145,-5.277094518172147,325284.8673959648,-5.989841757242735,355759.03645282186,5.0447677947344,-115476.16934370373,4.553726904081434,-93530.48863492325,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.27344905501464845,87948.90938522125,0.415409142982216,81844.40468179285,-0.19342051791525408,108578.03087872668,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,0.046773554678464356,97838.88302754416,0.20246441692100625,91164.33990580821,-0.031069255954247955,101308.34223787856,0.17787892068660233,92122.28180115181,0.08378023324815106,96510.26158490725
24,2025-12-17T18:39:38.514125,45249.29705213028,45105.12898537694,45393.46511888362,63.72168238867828,0.8926818119434344,0.20353061673072242,0.059259686951128966,0.2412147082095775,bullish,3,29.14189776455284,148,-5.298030682575309,326235.23244452296,-5.989841757242735,355759.03645282186,5.0447677947344,-115476.16934370373,4.553726904081434,-93530.48863492325,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.27344905501464845,87948.90938522125,0.415409142982216,81844.40468179285,-0.19342051791525408,108578.03087872668,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,0.046773554678464356,97838.88302754416,0.20246441692100625,91164.33990580821,-0.010133091551085542,100357.9771893204,0.17787892068660233,92122.28180115181,0.08378023324815106,96510.26158490725
25,2025-12-17T18:39:38.514256,45490.97598471222,45464.79621279239,45517.15575663205,11.509874806215363,0.8962696574224862,0.21511587600412854,0.053907494444350945,0.24370497784350098,bullish,4,30.175274933910337,152,-5.3523440163359695,328688.6558581585,-5.989841757242735,355777.8015116323,5.0447677947344,-115476.16934370373,4.553726904081434,-93530.48863492325,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.27344905501464845,87948.90938522125,0.415409142982216,81844.40468179285,-0.19342051791525408,108578.03087872668,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,0.046773554678464356,97838.88302754416,0.20246441692100625,91164.33990580821,-0.010133091551085542,100357.9771893204,0.17787892068660233,92122.28180115181,0.13809356700881134,94038.07311246134
26,2025-12-17T18:39:38.514409,45770.40384176575,45723.58618140087,45817.22150213063,20.45761297048519,0.9727522820321347,0.6105922655875785,0.009420985981952026,0.6961305906828928,bullish,8,31.87527493391034,160,-5.798030682575309,349103.11962834536,-6.744155091003396,390207.4775337609,5.0447677947344,-115476.16934370373,4.853726904081434,-107263.72926104262,3.0,-27621.739588916927,2.1,10537.98253607434,0.9,61064.18513521958,0.27344905501464845,87948.90938522125,0.415409142982216,81844.40468179285,-0.19342051791525408,108578.03087872668,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,0.046773554678464356,97838.88302754416,0.20246441692100625,91164.33990580821,-0.010133091551085542,100357.9771893204,0.17787892068660233,92122.28180115181,0.13809356700881134,94038.07311246134
27,2025-12-17T18:39:38.514558,46085.80997043488,46053.82172339003,46117.79821747973,13.88203747113107,0.9992348822980938,0.5875785239426157,0.0686330980257227,0.196546854080069,bullish,6,33.11386540815492,166,-6.298030682575309,372136.4953215933,-7.237058899008641,412939.1158919742,5.0447677947344,-115476.16934370373,5.1537269040814335,-121099.06872628654,3.3,-41441.765004865716,2.4000000000000004,-3287.1475629728266,0.9,61064.18513521958,0.27344905501464845,87948.90938522125,0.415409142982216,81844.40468179285,-0.19342051791525408,108578.03087872668,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,0.046773554678464356,97838.88302754416,0.20246441692100625,91164.33990580821,-0.010133091551085542,100357.9771893204,0.27078272869184794,87837.76272993041,0.13809356700881134,94038.07311246134
28,2025-12-17T18:39:38.514717,46425.6078334551,46393.30979661146,46457.90587029874,13.91388862780408,0.9682482400033363,0.5443881194395356,0.06704617450734178,0.20071901870824913,bullish,5,33.805707263891854,171,-6.798030682575309,395339.953300903,-7.4289007547455705,421849.27329858055,5.0447677947344,-115476.16934370373,5.1537269040814335,-121099.06872628654,3.3070961919947544,-41769.02575539229,2.7,-17209.22235055866,0.9,61064.18513521958,0.27344905501464845,87948.90938522125,0.6095766247498449,72833.69067350573,-0.19342051791525408,108578.03087872668,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,0.046773554678464356,97838.88302754416,0.20246441692100625,91164.33990580821,-0.010133091551085542,100357.9771893204,0.27078272869184794,87837.76272993041,0.3286717489833575,85184.50727294474
29,2025-12-17T18:39:38.514866,46776.76286640307,46744.27656116277,46809.24917164337,13.889933056327223,0.9613807552372627,0.5396848995033914,0.06579382134370278,0.20053911447444003,bullish,5,34.72096160014968,176,-7.070905623283199,408174.3039875521,-7.844155091003396,441176.25449481444,5.0447677947344,-115476.16934370373,5.1537269040814335,-121099.06872628654,3.6070961919947546,-55804.39279736783,3.0,-31240.88553777545,0.9,61064.18513521958,0.27344905501464845,87948.90938522125,0.6095766247498449,72833.69067350573,-0.19342051791525408,108578.03087872668,0.2367403030523793,89970.19221857355,0.35643572388508193,84955.78115966279,0.046773554678464356,97838.88302754416,0.20246441692100625,91164.33990580821,0.07799618541462983,96263.6755356297,0.27078272869184794,87837.76272993041,0.3286717489833575,85184.50727294474
30,2025-12-17T18:39:38.515029,47127.28862815514,47116.47100076273,47138.10625554755,4.590812545047709,0.923230716074658,0.4711995036414445,0.0612450165549612,0.20492599301570807,bullish,4,35.39350772984274,180,-7.128650057192893,410929.1529572441,-8.129353395220022,454533.6319460833,5.0447677947344,-115476.16934370373,5.1537269040814335,-121099.06872628654,3.9070961919947544,-69847.16754886085,3.0,-31240.88553777545,0.9,61064.18513521958,0.27344905501464845,87948.90938522125,0.6095766247498449,72833.69067350573,-0.19342051791525408,108578.03087872668,0.121938607269006,95336.51443596202,0.5141801577947748,77520.00727280648,0.046773554678464356,97838.88302754416,0.20246441692100625,91164.33990580821,0.07799618541462983,96263.6755356297,0.27078272869184794,87837.76272993041,0.3286717489833575,85184.50727294474
